TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
VGIR11;9,76;0,130000;15,27;9,79;1,00;4.604.077,05;3,97;0,91;15,41;1.430.805.115,16;255.796,00;;146.101.287,00
VGRI11;8,45;0,120000;17,75;10,70;0,79;605.034,32;3,03;;;374.594.160,72;21.930,00;;35.021.736,00
VIDS11;915,64;16,058793;11,90;791,17;1,16;0,00;8,64;;;74.846.591,83;199,00;;94.603,00
VIFI11;6,96;0,070000;2,01;7,97;0,87;0,00;6,91;5,09;8,10;64.507.809,24;5.521,00;Ativa;8.089.190,00
VILG11;101,71;0,740000;8,25;112,81;0,90;3.503.827,47;2,21;1,64;10,66;1.691.818.559,93;143.008,00;;14.997.396,00
VINO11;5,36;0,050000;11,85;10,06;0,53;734.565,63;3,90;-4,54;-7,85;832.856.322,92;137.001,00;;82.826.295,00
VISC11;109,00;0,810000;8,87;123,32;0,88;8.240.019,26;5,61;-3,08;10,22;3.555.140.708,99;336.346,00;;28.828.640,00
VIUR11;5,99;0,089000;13,79;8,08;0,74;601.786,95;12,98;-1,49;4,23;217.777.994,35;40.863,00;;26.946.220,00
VJFD11;148,01;2,100000;7,31;164,12;0,90;1.138,67;0,88;3,25;;800.258.585,36;96,00;;4.876.129,00
VLIQ11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VLJS11;1.141,14;28,819221;0,00;654,76;1,74;;0,03;;;17.068.751,32;9,00;;26.068,00
VLOL11;88,00;1,856441;0,00;63,81;1,38;0,00;3,50;14,56;-4,10;118.155.565,38;8.102,00;;1.851.786,00
VOTS11;80,99;1,220000;10,15;93,22;0,87;2.191,50;12,90;-10,30;11,10;77.181.978,29;546,00;;827.913,00
VPPR11;16,70;0,070000;0,00;38,35;0,44;104.785,32;0,75;-42,64;-18,37;280.575.014,89;34.046,00;;7.316.171,00
VPSI11;22,38;0,289607;13,46;30,72;0,73;22,00;1,01;5,78;;248.004.150,15;125,00;;8.071.897,00
VRTA11;80,10;0,850000;12,73;84,24;0,95;1.396.581,47;2,29;0,76;8,51;1.313.509.713,22;107.725,00;;15.592.424,00
VRTM11;7,30;0,090000;14,79;9,28;0,79;335.689,84;3,57;;;435.996.756,38;11.929,00;;46.971.245,00
VSEC11;0,21;0,080000;0,00;63,81;0,00;;3,50;-0,62;;118.155.565,38;8.102,00;;1.851.786,00
VSHO11;75,97;0,950000;10,75;115,15;0,66;24.770,95;1,31;-1,35;16,97;241.685.995,75;2.947,00;;2.098.800,00
VSLH11;2,18;0,030000;16,83;10,08;0,22;143.114,42;3,67;-9,79;-28,24;300.904.301,75;64.500,00;;29.864.091,00
VTBL11;0,00;1,544600;0,00;84,50;;;0,00;;;19.140.439,54;1,00;;226.505,00
VTLT11;88,98;1,262349;15,22;90,55;0,98;12.462.404,00;1,31;5,80;10,39;191.517.274,18;5.533,00;;2.115.000,00
VTPA11;0,00;;0,00;99,64;;;0,18;;;65.760.905,21;1,00;;659.957,00
VTPL11;64,25;0,751604;4,67;99,46;0,65;66,00;0,70;;;137.868.954,63;125,00;;1.386.242,00
VTRT11;0,00;0,107508;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VTVI11;0,00;;0,00;22,00;;;2,34;;;39.189.108,24;1,00;;1.780.984,00
VTXI11;0,00;;0,00;2,64;;;6,74;;;273.238,99;2,00;;103.500,00
VVCO11;14,99;0,323281;0,00;15,01;1,00;351.689,58;1,57;;17,37;148.569.560,56;2.506,00;;9.900.000,00
VVCR11;9,43;0,100000;13,15;10,18;0,93;10.164,84;1,80;-29,33;6,08;76.463.341,02;2.113,00;;7.508.332,00
VVMR11;84,10;0,200000;1,97;88,88;0,95;29.832,69;0,25;-26,18;5,26;250.919.934,15;549,00;;2.823.180,00
VVPR11;101,50;0,892340;0,00;63,81;1,59;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
VVRI11;89,99;0,750000;7,77;91,56;0,98;856,67;0,88;;;73.495.045,14;151,00;;802.683,00
VXXV11;722,00;93,020000;0,00;646,21;1,12;1.716.080,14;0,14;;4,40;308.808.940,19;3,00;;477.875,00
WHGR11;9,64;0,100000;12,81;9,84;0,98;188.927,53;2,02;-2,38;18,45;304.099.113,98;15.430,00;;30.912.378,00
WPLZ11;49,02;0,370000;10,36;54,66;0,90;10.457,22;1,73;-0,71;-6,50;63.950.636,92;1.546,00;;1.170.000,00
WSEC11;1,41;0,020354;62,00;1,47;0,96;1.533,00;103,39;-2,33;26,90;3.603.090,71;918,00;;2.456.510,00
WTSP11;48,41;0,970000;7,50;94,38;0,51;45.705,43;1,37;-1,33;7,56;116.898.051,49;248,00;;1.238.572,00
XBXO11;0,00;;0,00;8,51;;;0,02;;;25.897.183,09;5,00;;3.042.600,00
XPCI11;83,89;0,880000;12,97;89,26;0,94;2.051.060,53;1,19;-0,30;13,29;776.689.505,09;72.815,00;;8.701.551,00
XPCM11;8,17;0,020000;0,00;28,81;0,28;15.667,42;1,50;-34,84;-20,35;69.557.854,04;2,00;;2.414.570,00
XPIN11;82,06;0,850000;11,27;101,90;0,81;419.484,00;3,02;5,94;15,23;728.601.297,73;41.249,00;;7.150.422,00
XPLG11;103,30;0,820000;9,53;105,91;0,98;4.928.025,58;1,84;2,34;13,07;3.301.899.335,48;334.823,00;;31.175.931,00
XPML11;110,01;0,920000;10,04;108,16;1,02;14.165.369,32;1,61;3,39;14,38;6.333.860.101,76;633.076,00;;58.559.855,00
XPRE11;0,00;;0,00;;;;;;;;;;0,00
XPSF11;6,74;0,070000;11,28;8,11;0,83;2.365.441,95;4,67;-5,79;8,89;351.310.340,29;55.688,00;;43.302.140,00
YEES11;102,00;;0,00;88,59;1,15;102,00;10,91;;;21.258.300,06;132,00;;239.955,00
YUFI11;15,00;0,171599;4,61;45,55;0,33;15,00;3,87;;;22.442.663,70;57,00;;492.650,00
ZAGH11;10,00;0,020000;7,27;9,02;1,11;6.138,47;0,17;;;80.195.975,33;461,00;;8.891.662,00
ZAVC11;9,11;0,130000;17,12;10,12;0,90;26.532,68;21,28;;;36.250.896,42;533,00;;3.582.421,00
ZAVI11;9,97;0,110000;13,32;135,14;0,07;50.141,32;3,85;-0,62;3,15;158.565.556,87;2.338,00;;1.173.322,00
ZIFI11;909,00;3,304958;0,00;1.759,24;0,52;1.029,60;0,00;;;83.537.343,23;87,00;;47.485,00
