TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
RBRU11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RBRX11;8,30;0,090000;11,64;9,77;0,85;3.281.250,32;9,97;-8,22;10,03;1.430.587.513,16;117.920,00;;146.354.302,00
RBRY11;97,40;1,250000;14,30;99,54;0,98;5.133.566,84;1,90;-0,06;15,78;1.271.058.737,52;67.221,00;;12.769.512,00
RBTS11;392,64;7,341884;3,45;337,14;1,16;389,67;13,29;;;19.057.080,69;127,00;;56.525,00
RBVA11;9,93;0,090000;10,88;10,54;0,94;2.421.358,47;0,82;-2,77;13,07;1.646.268.534,38;88.817,00;;156.143.050,00
RBVO11;5,32;0,010000;0,00;0,00;;0,00;;71,05;-18,37;0,00;0,00;Ativa;0,00
RCFA11;0,92;;0,00;18,47;0,05;51,83;0,00;;-32,49;10.785.020,96;279,00;;583.926,00
RCFF11;95,00;0,424400;4,18;98,59;0,96;127,50;3,23;;13,10;31.863.620,14;129,00;;323.200,00
RCKF11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RCRB11;142,08;0,950000;7,01;199,33;0,71;865.658,16;0,23;2,42;13,44;735.657.153,20;24.381,00;;3.690.695,00
RCRI11B;1.200,00;12,481836;0,00;63,81;18,81;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RDCI11;0,00;1,440000;0,00;82,49;;;0,71;;;240.626.578,43;118,00;;2.916.965,00
RDIV11;100,00;;0,00;85,32;1,17;7.735.786,00;0,70;;;223.859.834,86;141,00;;2.623.752,00
RDLI11;89,28;18,189444;20,37;92,90;0,96;22.666,83;1,76;;;178.753.210,71;238,00;;1.924.193,00
RDLS11;0,00;;0,00;1.258,64;;;10,21;;;258.022.178,63;31,00;;205.000,00
RECD11;8,37;0,079500;14,23;8,23;1,02;1.832,74;16,26;;;44.880.232,54;332,00;;5.453.775,00
RECH11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
RECM11;8,61;0,110000;15,91;9,68;0,89;7.280,95;1,20;;;81.338.507,88;818,00;;8.400.517,00
RECR11;82,73;0,810000;13,85;89,54;0,92;2.966.914,84;1,13;2,41;12,50;2.367.515.888,13;172.205,00;;26.441.650,00
RECT11;38,55;0,450000;11,98;90,91;0,42;544.633,26;1,15;-4,83;1,30;776.692.370,27;50.244,00;;8.543.493,00
